rank,country,price_to_income_ratio,gross_rental_yield_city_centre,gross_rental_yield_outside_of_centre,price_to_rent_ratio_city_centre,price_to_rent_ratio_outside_of_city_centre,mortgage_as_percentage_of_income,affordability_index,Year
81,Jordan,7.9,7.4,7.2,13.5,13.9,81.5,1.2,2014
82,Finland,7.8,3.6,4.4,27.7,22.7,49.2,2.0,2014
83,Luxembourg,7.7,4.8,4.7,20.7,21.3,48.4,2.1,2014
84,United Kingdom,7.7,4.7,5.2,21.3,19.4,57.6,1.7,2014
85,Australia,7.4,5.2,5.5,19.4,18.3,64.5,1.6,2014
86,Norway,7.4,4.6,5.0,21.7,20.0,52.7,1.9,2014
87,Iceland,7.1,7.7,7.2,13.0,13.9,69.6,1.4,2014
88,Cyprus,7.1,5.0,4.7,20.2,21.3,62.7,1.6,2014
89,Switzerland,7.1,3.6,3.6,27.7,27.8,42.7,2.3,2014
90,Bahrain,6.9,10.7,8.8,9.3,11.3,69.5,1.4,2014
91,Costa Rica,6.9,8.8,8.6,11.4,11.6,95.4,1.0,2014
92,Turkey,6.9,5.8,6.9,17.2,14.4,90.4,1.1,2014
93,Kuwait,6.8,6.7,5.4,14.9,18.4,54.9,1.8,2014
94,Mozambique,6.6,17.5,14.8,5.7,6.7,140.6,0.7,2014
95,Mexico,6.5,6.4,5.3,15.7,18.8,80.6,1.2,2014
96,Denmark,6.4,4.5,4.7,22.2,21.1,44.5,2.2,2014
97,Netherlands,6.1,5.7,5.8,17.5,17.2,46.3,2.2,2014
98,Belgium,6.0,5.5,6.1,18.2,16.4,43.2,2.3,2014
99,Ireland,5.7,5.9,5.7,17.0,17.6,43.3,2.3,2014
100,Qatar,5.7,9.7,6.5,10.3,15.4,45.4,2.2,2014
101,Germany,5.6,4.5,4.8,22.2,20.9,38.0,2.6,2014
102,Canada,5.6,5.5,6.1,18.1,16.5,38.7,2.6,2014
103,Bahamas,5.5,5.5,7.5,18.0,13.3,60.5,1.7,2014
104,New Zealand,5.3,6.8,7.9,14.8,12.7,44.4,2.3,2014
105,United Arab Emirates,5.3,8.8,10.4,11.4,9.6,45.5,2.2,2014
106,Puerto Rico,5.1,5.2,6.8,19.2,14.7,41.8,2.4,2014
107,Libya,4.8,17.4,13.5,5.7,7.4,47.0,2.1,2014
108,Angola,4.5,33.5,17.6,3.0,5.7,71.7,1.4,2014
109,Jamaica,3.9,9.1,15.7,10.9,6.4,55.2,1.8,2014
110,South Africa,3.4,9.1,9.0,10.9,11.1,36.9,2.7,2014
111,Saudi Arabia,3.2,6.6,6.2,15.1,16.0,24.3,4.1,2014
112,Namibia,3.2,26.1,30.1,3.8,3.3,37.5,2.7,2014
113,Oman,2.9,11.2,12.5,8.9,8.0,26.7,3.7,2014
114,United States,2.4,11.0,12.6,9.1,8.0,18.0,5.6,2014
115,Tanzania,2.0,59.6,27.8,1.7,3.6,35.0,2.9,2014
1,Uganda,31.1,1.9,10.0,53.7,10.0,649.4,0.2,2015
2,Syria,30.5,3.9,3.1,25.3,31.8,283.7,0.4,2015
3,Hong Kong,30.1,2.7,2.8,37.5,36.1,193.0,0.5,2015
4,Myanmar,26.8,8.5,2.9,11.8,33.9,318.0,0.3,2015
5,Ghana,26.6,10.8,13.4,9.3,7.4,670.4,0.1,2015
6,China,26.4,2.8,3.0,35.9,33.3,230.6,0.4,2015
7,El Salvador,25.4,5.3,1.7,18.9,60.3,336.1,0.3,2015
8,Taiwan,25.0,1.4,1.8,71.4,55.5,152.3,0.7,2015
9,Vietnam,23.9,5.2,7.6,19.3,13.1,285.6,0.4,2015
10,Venezuela,22.2,12.5,9.3,8.0,10.8,333.4,0.3,2015
11,Mauritius,22.1,2.2,2.4,45.3,41.5,228.8,0.4,2015
12,Singapore,21.4,3.4,3.9,29.2,25.7,133.3,0.8,2015
13,Cambodia,21.1,10.8,7.8,9.3,12.7,232.1,0.4,2015
14,Algeria,20.9,2.7,3.4,37.0,29.4,161.5,0.6,2015
15,Iran,20.8,5.0,5.5,19.8,18.1,468.1,0.2,2015
16,Thailand,20.8,3.9,3.2,25.4,31.1,179.5,0.6,2015
17,Nepal,19.7,2.6,2.8,38.3,35.2,257.4,0.4,2015
18,Indonesia,18.9,6.2,5.7,16.0,17.4,217.4,0.5,2015
19,Philippines,18.5,3.1,2.7,32.3,37.7,198.6,0.5,2015
20,Ukraine,17.4,6.0,5.9,16.8,17.0,349.3,0.3,2015
21,Moldova,17.1,5.2,5.7,19.3,17.6,267.3,0.4,2015
22,Serbia,17.1,2.8,3.1,35.6,31.8,155.3,0.6,2015
23,Kenya,16.8,8.3,4.1,12.0,24.2,287.3,0.3,2015
24,Brazil,16.7,4.2,4.3,23.6,23.1,200.6,0.5,2015
25,Kosovo (Disputed Territory),16.7,6.4,7.2,15.6,13.9,234.7,0.4,2015
26,Belarus,16.4,5.5,5.2,18.3,19.1,545.5,0.2,2015
27,Peru,16.3,6.0,6.5,16.6,15.4,189.8,0.5,2015
28,Lebanon,16.2,4.0,5.7,25.0,17.5,143.7,0.7,2015
29,Azerbaijan,16.2,7.7,9.0,13.0,11.1,185.7,0.5,2015
30,Morocco,16.1,4.8,3.6,21.0,27.8,136.0,0.7,2015
31,Montenegro,16.1,3.1,3.2,32.7,31.0,170.2,0.6,2015
32,North Macedonia,15.4,3.5,3.5,28.9,28.5,148.1,0.7,2015
33,Ethiopia,15.4,12.0,7.7,8.4,13.0,175.0,0.6,2015
34,Georgia,15.2,6.8,6.6,14.8,15.2,208.6,0.5,2015
35,Ecuador,14.7,7.0,6.4,14.2,15.6,167.7,0.6,2015
36,Uzbekistan,14.7,6.8,6.7,14.7,14.8,277.5,0.4,2015
37,Russia,14.6,6.9,6.5,14.6,15.5,210.0,0.5,2015
38,Albania,14.6,3.5,5.3,28.6,18.8,138.4,0.7,2015
39,Colombia,14.4,6.1,5.5,16.5,18.1,188.6,0.5,2015
40,Pakistan,14.3,3.0,3.5,33.0,28.3,218.2,0.5,2015
41,Sri Lanka,14.3,7.9,3.7,12.7,27.0,226.1,0.4,2015
42,Zimbabwe,14.1,6.5,4.9,15.3,20.5,406.0,0.2,2015
43,Armenia,13.4,6.5,5.3,15.3,18.8,197.4,0.5,2015
44,Lithuania,12.9,4.1,4.1,24.3,24.4,87.5,1.1,2015
45,Kazakhstan,12.7,5.9,5.6,17.1,18.0,186.7,0.5,2015
46,Bosnia And Herzegovina,12.5,3.2,3.1,31.7,32.3,123.7,0.8,2015
47,Croatia,12.5,3.1,3.4,32.5,29.2,110.0,0.9,2015
48,Botswana,12.4,8.4,2.0,12.0,50.4,159.1,0.6,2015
49,Latvia,12.2,3.9,4.6,25.9,21.6,83.5,1.2,2015
50,Romania,11.8,4.8,4.8,20.8,20.7,109.0,0.9,2015
51,Italy,11.7,2.8,3.6,35.5,28.1,94.1,1.1,2015
52,Estonia,11.6,4.2,4.4,23.8,23.0,78.1,1.3,2015
53,Argentina,11.6,3.6,3.8,27.6,26.6,231.7,0.4,2015
54,Dominican Republic,11.5,6.0,7.8,16.7,12.8,171.9,0.6,2015
55,Egypt,11.3,7.5,7.9,13.3,12.6,132.3,0.8,2015
56,Uruguay,11.2,5.6,5.9,17.9,16.9,108.5,0.9,2015
57,South Korea,11.0,3.3,3.8,29.9,26.6,83.3,1.2,2015
58,Bangladesh,10.9,3.7,4.3,26.8,23.3,194.0,0.5,2015
59,Tunisia,10.8,5.9,5.9,16.9,17.1,109.3,0.9,2015
60,Chile,10.8,4.4,5.3,22.7,18.7,87.7,1.1,2015
61,Panama,10.8,11.6,7.0,8.7,14.3,88.8,1.1,2015
62,Nigeria,10.7,10.7,3.4,9.3,29.2,205.2,0.5,2015
63,Israel,10.7,3.4,3.8,29.8,26.1,68.9,1.5,2015
64,Palestine,10.6,3.0,3.2,33.2,30.8,84.1,1.2,2015
65,Slovenia,10.6,3.6,3.8,27.6,26.4,79.6,1.3,2015
66,Czech Republic,10.6,4.0,4.7,25.2,21.1,71.4,1.4,2015
67,Poland,10.6,4.4,4.6,22.6,21.5,83.1,1.2,2015
68,Bolivia,10.3,6.2,5.4,16.3,18.5,94.5,1.1,2015
69,India,10.1,3.3,3.9,30.3,25.6,124.4,0.8,2015
70,Trinidad And Tobago,10.0,18.4,3.4,5.4,29.4,95.5,1.0,2015
71,Nicaragua,10.0,8.2,7.8,12.1,12.8,153.6,0.7,2015
72,France,9.7,3.2,3.9,31.4,25.5,66.7,1.5,2015
73,Greece,9.7,3.6,3.5,28.0,28.2,75.3,1.3,2015
74,Austria,9.6,2.9,3.7,33.9,27.3,64.3,1.6,2015
75,Spain,9.6,3.9,4.5,25.3,22.3,66.4,1.5,2015
76,Bulgaria,9.4,5.5,6.0,18.1,16.7,93.0,1.1,2015
77,Guatemala,9.3,7.2,7.5,14.0,13.2,101.7,1.0,2015
78,Sweden,9.2,2.8,3.2,35.5,31.5,61.9,1.6,2015
79,Japan,9.2,3.6,3.3,27.9,30.1,55.8,1.8,2015
80,Iraq,8.9,8.4,9.7,11.9,10.3,93.2,1.1,2015
81,United Kingdom,8.6,4.1,4.6,24.3,21.8,63.4,1.6,2015
82,Hungary,8.6,4.7,5.1,21.5,19.6,84.0,1.2,2015
83,Jordan,8.6,6.9,7.4,14.5,13.5,87.5,1.1,2015
84,Slovakia,8.6,6.2,6.6,16.0,15.1,61.1,1.6,2015
85,Malaysia,8.4,4.6,4.2,21.7,23.6,64.8,1.5,2015
86,Portugal,8.3,5.7,6.4,17.6,15.6,61.9,1.6,2015
87,Luxembourg,8.3,5.3,4.8,19.0,20.8,50.4,2.0,2015
88,Bahrain,7.9,9.3,10.8,10.7,9.2,69.4,1.4,2015
89,Norway,7.7,4.6,4.9,21.6,20.5,54.7,1.8,2015
90,Cyprus,7.4,4.3,4.3,23.4,23.4,64.0,1.6,2015
91,Switzerland,7.3,3.5,3.6,28.8,28.1,44.0,2.3,2015
92,Malta,7.2,4.7,5.2,21.1,19.4,49.8,2.0,2015
93,Australia,7.1,5.0,5.4,19.9,18.5,59.3,1.7,2015
94,Finland,7.0,3.9,5.0,25.9,20.0,43.5,2.3,2015
95,Turkey,6.7,5.9,7.1,16.9,14.1,86.8,1.2,2015
96,Germany,6.6,4.0,4.5,24.9,22.4,44.3,2.3,2015
97,Qatar,6.6,8.8,7.5,11.4,13.4,51.7,1.9,2015
98,Belgium,6.5,5.4,6.0,18.4,16.7,45.9,2.2,2015
99,Mexico,6.3,7.4,6.2,13.5,16.2,77.3,1.3,2015
100,Netherlands,6.2,5.6,5.6,17.8,17.8,46.1,2.2,2015
101,United Arab Emirates,6.2,8.8,9.7,11.4,10.3,49.9,2.0,2015
102,Kuwait,6.1,7.4,6.2,13.5,16.2,54.7,1.8,2015
103,Ireland,6.1,5.8,6.4,17.3,15.6,45.0,2.2,2015
104,New Zealand,5.8,6.0,7.0,16.6,14.3,49.1,2.0,2015
105,Costa Rica,5.7,10.2,9.3,9.8,10.7,84.3,1.2,2015
106,Iceland,5.6,8.1,8.1,12.4,12.4,52.7,1.9,2015
107,Canada,5.5,5.9,6.4,17.1,15.6,37.9,2.6,2015
108,Namibia,5.4,9.3,30.2,10.8,3.3,64.0,1.6,2015
109,Libya,5.1,15.1,13.2,6.6,7.6,51.0,2.0,2015
110,Denmark,5.0,5.7,5.7,17.4,17.5,34.3,2.9,2015
111,Mozambique,4.9,19.9,24.6,5.0,4.1,102.3,1.0,2015
112,Puerto Rico,4.5,5.7,6.3,17.4,16.0,36.0,2.8,2015
113,Jamaica,4.3,13.4,9.2,7.5,10.8,55.2,1.8,2015
114,Bahamas,3.9,7.3,8.5,13.7,11.8,39.4,2.5,2015
115,Belize,3.7,4.0,3.5,25.0,28.9,38.9,2.6,2015
116,Honduras,3.5,7.1,11.5,14.1,8.7,49.0,2.0,2015
117,Oman,3.2,11.4,12.6,8.8,7.9,30.3,3.3,2015
118,South Africa,3.1,10.2,9.4,9.8,10.6,33.6,3.0,2015
119,Saudi Arabia,3.1,7.2,6.9,13.9,14.6,23.5,4.2,2015
120,United States,2.6,11.2,12.9,9.0,7.7,19.4,5.1,2015
121,Tanzania,1.8,80.3,27.8,1.2,3.6,27.9,3.6,2015
1,Hong Kong,37.6,2.0,2.1,51.2,46.7,239.9,0.4,2016
2,Vietnam,34.1,3.7,6.4,27.3,15.6,374.9,0.3,2016
3,Ghana,29.9,10.6,14.5,9.4,6.9,737.5,0.1,2016
4,Cambodia,29.8,6.3,6.1,15.9,16.5,336.1,0.3,2016
5,Ukraine,26.2,4.9,5.1,20.6,19.6,611.8,0.2,2016
6,China,25.0,2.5,2.6,39.6,37.8,210.6,0.5,2016
7,Thailand,24.4,4.3,3.6,23.1,27.9,214.2,0.5,2016
8,Syria,24.3,4.8,5.5,20.8,18.1,236.4,0.4,2016
9,Singapore,23.2,2.7,3.2,36.5,31.3,144.4,0.7,2016
10,Taiwan,22.7,1.2,1.5,83.3,66.8,139.8,0.7,2016
11,Belarus,21.1,4.9,4.9,20.5,20.4,721.2,0.1,2016
12,Kenya,20.2,6.8,4.3,14.8,23.4,332.8,0.3,2016
13,Japan,20.2,1.6,2.0,63.8,50.2,119.6,0.8,2016
14,Indonesia,19.5,4.5,4.9,22.1,20.5,225.5,0.4,2016
15,Philippines,19.2,3.0,3.1,33.3,32.6,193.1,0.5,2016
16,Algeria,19.1,2.9,3.7,34.0,27.1,152.1,0.7,2016
17,Moldova,18.3,5.6,6.1,17.9,16.4,257.5,0.4,2016
18,Armenia,18.2,5.8,5.1,17.2,19.8,286.4,0.3,2016
19,Brazil,17.9,4.2,4.2,23.6,24.1,239.4,0.4,2016
20,Nepal,17.9,2.4,3.1,42.3,32.1,215.9,0.5,2016
21,Azerbaijan,17.8,5.6,5.5,17.8,18.1,210.9,0.5,2016
22,Sri Lanka,17.3,5.6,4.0,17.8,24.8,239.3,0.4,2016
23,Ethiopia,17.0,13.3,9.7,7.5,10.3,214.8,0.5,2016
24,Serbia,16.6,3.1,3.4,32.3,29.7,148.4,0.7,2016
25,Uzbekistan,16.4,6.5,6.5,15.4,15.4,302.0,0.3,2016
26,Georgia,16.3,7.8,9.0,12.8,11.1,224.7,0.4,2016
27,Colombia,16.3,5.2,5.1,19.3,19.6,218.4,0.5,2016
28,Peru,15.9,5.0,5.4,19.9,18.5,184.0,0.5,2016
29,Montenegro,15.6,3.8,3.4,26.5,29.4,182.1,0.5,2016
30,North Macedonia,15.5,3.5,3.4,28.4,29.2,138.6,0.7,2016
31,Pakistan,15.3,3.4,3.2,29.8,31.2,218.8,0.5,2016
32,South Korea,14.9,2.2,3.4,45.6,29.2,110.7,0.9,2016
33,Uruguay,14.8,4.7,4.6,21.4,21.8,149.3,0.7,2016
34,Iran,14.8,5.8,6.9,17.3,14.5,356.1,0.3,2016
35,Morocco,14.7,4.8,4.5,20.9,22.4,125.5,0.8,2016
36,Albania,14.1,4.0,5.3,24.9,18.8,128.6,0.8,2016
37,Kazakhstan,13.2,5.1,5.6,19.7,17.7,199.3,0.5,2016
38,Lebanon,12.9,6.0,6.9,16.7,14.6,114.6,0.9,2016
39,Lithuania,12.9,4.2,4.4,23.6,22.6,84.1,1.2,2016
40,Russia,12.8,6.7,6.4,15.0,15.6,192.9,0.5,2016
41,Argentina,12.2,3.6,3.8,27.7,26.1,269.1,0.4,2016
42,Panama,12.1,11.5,7.7,8.7,13.0,98.2,1.0,2016
43,Dominican Republic,12.1,6.7,6.8,14.8,14.7,152.0,0.7,2016
44,France,11.9,2.6,3.2,37.9,31.4,78.5,1.3,2016
45,Croatia,11.9,3.1,3.5,32.0,28.3,101.8,1.0,2016
46,Ecuador,11.8,6.7,5.1,14.9,19.7,138.6,0.7,2016
47,Tunisia,11.5,5.4,5.5,18.6,18.3,107.7,0.9,2016
48,Sweden,11.2,2.5,3.1,39.3,32.0,69.8,1.4,2016
49,Estonia,11.1,3.9,4.0,25.4,25.3,71.1,1.4,2016
50,Poland,11.0,4.4,5.0,22.6,20.0,81.5,1.2,2016
51,Bosnia And Herzegovina,10.9,3.5,3.3,28.9,30.3,105.9,0.9,2016
52,Egypt,10.8,7.0,8.2,14.2,12.2,131.2,0.8,2016
53,Latvia,10.7,4.6,5.9,21.8,17.0,72.7,1.4,2016
54,Israel,10.6,3.3,3.5,30.4,28.5,67.5,1.5,2016
55,Romania,10.6,4.9,4.7,20.4,21.1,87.7,1.1,2016
56,India,10.5,3.0,3.8,33.3,26.4,127.9,0.8,2016
57,Italy,10.4,3.1,4.0,32.6,25.0,73.1,1.4,2016
58,Czech Republic,10.3,4.2,4.7,23.8,21.3,65.3,1.5,2016
59,Bolivia,10.0,5.8,5.9,17.1,16.8,96.1,1.0,2016
60,Chile,9.9,4.3,5.1,23.1,19.7,78.8,1.3,2016
61,Bangladesh,9.8,4.2,4.5,24.1,22.3,147.0,0.7,2016
62,Hungary,9.8,5.4,6.1,18.4,16.3,86.8,1.2,2016
63,Jamaica,9.8,7.0,4.4,14.3,22.8,116.6,0.9,2016
64,Slovenia,9.7,3.9,4.1,25.9,24.7,71.2,1.4,2016
65,Austria,9.5,3.6,4.0,27.5,25.1,60.2,1.7,2016
66,United Kingdom,9.3,4.4,4.5,22.6,22.1,65.5,1.5,2016
67,Malaysia,9.1,4.1,4.1,24.4,24.6,69.9,1.4,2016
68,Slovakia,9.0,6.3,6.5,15.8,15.5,58.6,1.7,2016
69,Jordan,9.0,6.2,6.6,16.1,15.2,97.1,1.0,2016
70,Bulgaria,8.8,5.5,5.9,18.2,17.0,79.8,1.3,2016
71,Luxembourg,8.7,4.3,4.4,23.0,22.8,52.7,1.9,2016
72,Malta,8.7,5.3,5.7,18.9,17.5,59.5,1.7,2016
73,Switzerland,8.6,3.1,3.3,32.7,30.5,51.2,2.0,2016
74,Ireland,8.5,4.5,5.5,22.2,18.2,62.4,1.6,2016
75,Australia,8.4,4.4,4.5,22.9,22.1,66.3,1.5,2016
76,Portugal,8.4,5.7,5.9,17.6,16.9,61.0,1.6,2016
77,Turkey,8.1,5.4,6.3,18.6,15.8,106.9,0.9,2016
78,Spain,8.1,4.5,5.1,22.3,19.5,54.6,1.8,2016
79,Iraq,7.7,8.6,9.8,11.6,10.2,89.6,1.1,2016
80,Finland,7.7,3.7,4.5,26.9,22.0,46.5,2.2,2016
81,Costa Rica,7.7,7.0,6.0,14.3,16.5,102.4,1.0,2016
82,Greece,7.4,4.1,3.9,24.5,25.6,53.6,1.9,2016
83,Norway,7.4,4.5,4.8,22.2,20.9,49.5,2.0,2016
84,Germany,7.1,3.8,4.1,26.2,24.5,45.6,2.2,2016
85,Palestine,7.1,6.0,6.2,16.8,16.1,58.1,1.7,2016
86,Tanzania,7.1,11.9,16.1,8.4,6.2,96.6,1.0,2016
87,Qatar,6.9,9.5,7.0,10.6,14.3,51.1,2.0,2016
88,Cyprus,6.7,4.7,4.9,21.4,20.5,54.9,1.8,2016
89,Belgium,6.6,6.8,6.3,14.8,15.8,43.2,2.3,2016
90,New Zealand,6.3,5.7,6.4,17.4,15.5,51.5,1.9,2016
91,Mexico,6.2,7.4,6.5,13.6,15.4,77.2,1.3,2016
92,Canada,6.1,5.4,6.0,18.4,16.7,40.9,2.4,2016
93,Netherlands,5.9,6.3,6.6,16.0,15.1,41.0,2.4,2016
94,Denmark,5.9,4.7,5.3,21.1,18.9,39.2,2.5,2016
95,Bahrain,5.7,10.4,12.7,9.6,7.9,49.1,2.0,2016
96,Iceland,5.5,8.0,8.7,12.5,11.4,51.6,1.9,2016
97,United Arab Emirates,5.4,10.6,11.0,9.4,9.1,40.9,2.4,2016
98,Puerto Rico,4.7,7.1,6.9,14.1,14.4,37.6,2.7,2016
99,United States,3.4,11.0,12.5,9.1,8.0,24.7,4.0,2016
100,South Africa,3.3,9.7,10.2,10.3,9.8,37.2,2.7,2016
101,Oman,3.3,8.2,14.5,12.2,6.9,28.2,3.5,2016
102,Saudi Arabia,2.8,7.0,8.2,14.3,12.2,20.5,4.9,2016
1,Venezuela,202.1,3.5,3.2,28.5,31.4,4469.1,0.0,2017
2,Syria,37.8,3.9,5.3,26.0,18.7,374.3,0.3,2017
3,Hong Kong,36.1,2.3,2.2,44.3,44.8,224.9,0.4,2017
4,Vietnam,26.8,4.5,7.0,22.1,14.2,285.6,0.4,2017
5,Thailand,24.4,3.8,3.5,26.3,28.3,212.0,0.5,2017
6,Cambodia,24.3,7.4,6.2,13.4,16.0,292.4,0.3,2017
7,China,23.3,2.2,2.7,44.8,36.5,189.7,0.5,2017
8,Ukraine,22.9,5.3,6.0,18.9,16.6,512.1,0.2,2017
9,Algeria,21.8,2.7,3.0,37.6,33.8,177.7,0.6,2017
10,Singapore,21.6,2.7,3.7,36.4,27.4,134.3,0.7,2017
11,Indonesia,21.0,4.7,4.9,21.4,20.3,247.7,0.4,2017
12,Azerbaijan,20.3,5.5,5.5,18.3,18.2,232.9,0.4,2017
13,Uruguay,19.7,4.5,4.1,22.4,24.6,202.2,0.5,2017
14,Colombia,19.4,4.3,4.3,23.5,23.3,283.6,0.4,2017
15,Belarus,18.7,5.3,4.8,18.8,20.8,587.5,0.2,2017
16,Serbia,17.9,3.1,3.3,31.9,30.1,142.6,0.7,2017
17,Sri Lanka,17.5,4.9,4.5,20.4,22.4,238.6,0.4,2017
18,Brazil,17.0,4.0,4.0,24.9,24.9,224.6,0.4,2017
19,Philippines,16.9,3.7,3.5,26.7,28.3,162.9,0.6,2017
20,Peru,16.5,6.2,5.5,16.0,18.3,204.6,0.5,2017
21,Mongolia,15.8,9.8,13.4,10.2,7.5,203.5,0.5,2017
22,Moldova,15.5,6.1,6.6,16.5,15.2,227.9,0.4,2017
23,Montenegro,15.3,3.5,3.7,28.4,27.1,165.1,0.6,2017
24,North Macedonia,14.7,3.7,3.6,26.9,28.0,132.8,0.8,2017
25,Albania,14.4,4.0,5.0,25.2,20.0,138.0,0.7,2017
26,Morocco,14.4,5.0,5.0,20.0,20.0,119.4,0.8,2017
27,Armenia,14.3,6.3,5.2,15.9,19.2,213.1,0.5,2017
28,Lithuania,14.2,3.9,4.1,25.6,24.2,89.2,1.1,2017
29,Switzerland,14.0,3.0,3.1,33.2,31.8,81.9,1.2,2017
30,Lebanon,13.9,5.4,6.3,18.7,15.9,126.7,0.8,2017
31,Luxembourg,13.9,3.9,3.7,25.4,27.0,84.4,1.2,2017
32,Russia,13.5,5.8,6.3,17.4,15.8,193.9,0.5,2017
33,Iran,13.5,6.1,8.1,16.4,12.3,275.3,0.4,2017
34,Bangladesh,12.9,3.2,3.5,30.8,28.7,181.3,0.6,2017
35,Taiwan,12.9,1.5,1.7,64.9,58.6,78.8,1.3,2017
36,Japan,12.7,2.2,2.8,45.2,36.3,72.8,1.4,2017
37,Dominican Republic,12.6,7.0,6.5,14.2,15.4,164.4,0.6,2017
38,Ecuador,12.6,6.4,5.2,15.6,19.4,150.5,0.7,2017
39,Tunisia,12.5,4.2,4.8,23.5,20.7,113.7,0.9,2017
40,Italy,12.4,2.7,3.6,37.2,28.1,82.6,1.2,2017
41,Kazakhstan,12.4,6.2,5.8,16.1,17.2,212.0,0.5,2017
42,South Korea,12.4,2.0,2.5,49.1,39.9,85.5,1.2,2017
43,Georgia,12.3,7.6,7.4,13.1,13.4,158.4,0.6,2017
44,Panama,12.2,10.3,9.9,9.7,10.1,102.4,1.0,2017
45,Pakistan,12.1,4.1,3.8,24.5,26.3,157.0,0.6,2017
46,Argentina,12.1,3.8,3.9,26.5,25.6,333.2,0.3,2017
47,Kuwait,11.8,5.3,5.2,19.0,19.4,94.9,1.1,2017
48,Sweden,11.8,2.5,3.2,39.7,31.1,71.3,1.4,2017
49,France,11.6,3.0,3.7,33.3,27.2,73.9,1.4,2017
50,Bosnia And Herzegovina,11.3,3.4,3.3,29.4,30.2,104.9,1.0,2017
51,Hungary,11.2,5.4,6.0,18.4,16.8,97.3,1.0,2017
52,Croatia,10.9,3.3,3.7,30.2,27.1,89.2,1.1,2017
53,Israel,10.9,3.5,3.5,29.0,28.3,71.9,1.4,2017
54,Romania,10.8,4.9,4.8,20.4,21.0,83.3,1.2,2017
55,Czech Republic,10.7,4.2,4.6,24.0,21.7,65.4,1.5,2017
56,Chile,10.7,4.4,5.1,22.6,19.8,83.6,1.2,2017
57,Egypt,10.7,7.2,7.7,13.9,12.9,138.1,0.7,2017
58,Estonia,10.5,4.1,4.0,24.3,25.3,68.8,1.5,2017
59,Latvia,10.4,4.8,5.1,21.0,19.8,68.5,1.5,2017
60,India,10.3,3.1,3.8,32.4,26.2,123.4,0.8,2017
61,Poland,10.1,4.7,5.3,21.4,19.0,73.1,1.4,2017
62,United Kingdom,10.0,4.2,4.4,24.0,22.8,69.1,1.4,2017
63,Slovakia,9.9,5.6,5.6,17.8,17.9,61.6,1.6,2017
64,Austria,9.7,3.6,3.8,27.5,26.5,59.1,1.7,2017
65,Bolivia,9.7,6.0,6.8,16.6,14.8,89.1,1.1,2017
66,Malaysia,9.5,4.1,4.1,24.6,24.7,72.9,1.4,2017
67,Australia,9.2,4.9,5.0,20.4,19.8,70.9,1.4,2017
68,Bulgaria,9.1,5.4,5.7,18.6,17.6,77.2,1.3,2017
69,Turkey,8.9,5.4,6.3,18.4,15.9,121.4,0.8,2017
70,Portugal,8.9,5.9,6.1,16.8,16.5,60.9,1.6,2017
71,Malta,8.7,5.9,6.1,17.0,16.3,61.4,1.6,2017
72,Netherlands,8.5,5.4,5.9,18.6,16.9,56.2,1.8,2017
73,Costa Rica,8.5,7.2,6.6,14.0,15.2,106.2,0.9,2017
74,Slovenia,8.3,4.2,4.2,23.8,23.8,60.3,1.7,2017
75,Greece,8.3,4.1,4.2,24.1,23.8,62.5,1.6,2017
76,Spain,8.3,4.4,5.2,22.8,19.1,52.0,1.9,2017
77,Namibia,8.2,10.1,9.2,9.9,10.8,100.9,1.0,2017
78,Denmark,8.2,4.7,4.8,21.2,20.8,52.4,1.9,2017
79,New Zealand,8.1,5.0,5.9,20.0,16.9,63.9,1.6,2017
80,Guatemala,8.1,7.2,8.6,13.8,11.7,94.4,1.1,2017
81,Jordan,8.0,6.5,7.2,15.4,13.8,76.6,1.3,2017
82,Norway,7.9,4.2,4.5,23.9,22.2,51.0,2.0,2017
83,Iraq,7.8,7.0,8.3,14.2,12.1,103.6,1.0,2017
84,Finland,7.6,3.7,4.6,26.7,21.8,44.5,2.2,2017
85,Germany,7.5,3.7,4.1,26.7,24.5,45.9,2.2,2017
86,Ireland,7.0,6.0,6.9,16.6,14.5,50.8,2.0,2017
87,Belgium,7.0,5.8,5.9,17.2,16.9,44.7,2.2,2017
88,Mexico,6.9,6.9,6.3,14.6,15.8,86.6,1.2,2017
89,Canada,6.4,5.5,6.2,18.3,16.2,42.1,2.4,2017
90,Qatar,6.2,9.5,9.2,10.5,10.9,47.1,2.1,2017
91,Iceland,6.1,8.1,8.4,12.4,11.9,57.7,1.7,2017
92,Palestine,6.1,6.9,6.9,14.4,14.6,53.9,1.9,2017
93,United Arab Emirates,5.6,9.7,10.7,10.3,9.4,42.1,2.4,2017
94,Cyprus,5.2,4.9,5.1,20.4,19.5,39.8,2.5,2017
95,Puerto Rico,5.1,7.0,6.5,14.2,15.3,40.1,2.5,2017
96,Libya,3.9,7.1,7.1,14.1,14.0,26.6,3.8,2017
97,South Africa,3.6,9.5,10.4,10.5,9.6,42.0,2.4,2017
98,United States,3.3,11.2,12.2,8.9,8.2,23.5,4.2,2017
99,Saudi Arabia,2.8,7.3,8.0,13.7,12.5,21.1,4.7,2017
1,Hong Kong,41.1,1.9,1.9,51.4,52.3,257.2,0.4,2018
2,China,28.2,1.8,2.1,56.8,47.1,224.3,0.4,2018
3,Thailand,22.8,3.8,3.6,26.6,27.6,195.5,0.5,2018
4,Algeria,22.2,2.6,2.8,39.1,35.6,184.3,0.5,2018
