rank,country,pollution_index,exp_pollution_index,Year
54,Tanzania,62.9,110.7,2020
55,Colombia,62.8,113.5,2020
56,Russia,62.8,108.1,2020
57,South Korea,62.5,114.4,2020
58,Bosnia And Herzegovina,62.3,110.6,2020
59,Qatar,61.1,106.9,2020
60,Serbia,60.3,104.8,2020
61,Armenia,60.2,108.8,2020
62,Sri Lanka,59.1,101.2,2020
63,Romania,58.4,99.7,2020
64,South Africa,57.3,97.9,2020
65,Israel,57.2,101.0,2020
66,Ecuador,57.0,97.2,2020
67,Mauritius,55.9,95.6,2020
68,Italy,55.6,94.5,2020
69,Brazil,55.0,94.0,2020
70,Poland,54.5,97.1,2020
71,Cyprus,53.6,90.5,2020
72,Belgium,52.9,90.0,2020
73,Greece,52.5,91.8,2020
74,United Arab Emirates,51.2,87.0,2020
75,Argentina,50.7,86.4,2020
76,Puerto Rico,49.9,85.7,2020
77,Hungary,48.3,83.6,2020
78,Costa Rica,47.0,81.1,2020
79,Montenegro,45.1,76.6,2020
80,Uruguay,44.8,79.8,2020
81,Belarus,43.6,72.2,2020
82,France,43.6,72.7,2020
83,United Kingdom,40.6,67.1,2020
84,Czech Republic,40.2,68.3,2020
85,Spain,40.0,65.5,2020
86,Slovakia,39.7,66.6,2020
87,Japan,39.6,64.1,2020
88,Oman,37.7,60.8,2020
89,United States,36.9,61.0,2020
90,Ireland,34.0,56.5,2020
91,Latvia,33.7,54.9,2020
92,Singapore,33.5,56.9,2020
93,Portugal,30.9,49.7,2020
94,Croatia,30.5,50.2,2020
95,Germany,29.0,46.7,2020
96,Lithuania,28.8,46.8,2020
97,Canada,27.8,45.3,2020
98,Netherlands,27.4,44.8,2020
99,Luxembourg,24.3,36.6,2020
100,Slovenia,24.1,42.5,2020
101,Australia,23.5,37.5,2020
102,New Zealand,23.4,39.9,2020
103,Switzerland,22.4,36.0,2020
104,Austria,22.2,36.6,2020
105,Denmark,21.3,32.9,2020
106,Norway,20.3,32.7,2020
107,Estonia,19.8,33.1,2020
108,Sweden,18.1,28.3,2020
109,Iceland,16.2,28.1,2020
110,Finland,11.5,19.7,2020
1,Afghanistan,92.2,166.1,2021
2,Mongolia,91.8,168.6,2021
3,Myanmar,89.8,162.1,2021
4,Lebanon,89.3,159.7,2021
5,Ghana,89.0,159.6,2021
6,Nigeria,87.3,156.1,2021
7,Monaco,86.8,158.4,2021
8,Vietnam,85.9,153.9,2021
9,Bangladesh,84.9,151.8,2021
10,Egypt,84.3,150.2,2021
11,Nepal,84.3,149.9,2021
12,Peru,82.7,147.2,2021
13,China,81.5,148.5,2021
14,North Macedonia,80.0,145.7,2021
15,India,79.6,140.8,2021
16,Chile,79.0,141.8,2021
17,Laos,78.8,140.2,2021
18,Albania,78.6,138.2,2021
19,Cambodia,78.2,138.0,2021
20,Malta,77.8,136.5,2021
21,Ethiopia,77.7,136.7,2021
22,Iran,76.1,139.3,2021
23,Jordan,76.1,133.8,2021
24,Kenya,75.9,134.5,2021
25,Azerbaijan,75.4,132.3,2021
26,Thailand,75.4,132.5,2021
27,Venezuela,75.1,133.2,2021
28,Dominican Republic,75.1,131.4,2021
29,Zimbabwe,74.4,132.1,2021
30,Philippines,74.1,130.2,2021
31,Iraq,73.6,128.6,2021
32,Pakistan,73.4,128.1,2021
33,Bolivia,73.2,128.2,2021
34,Syria,72.6,126.3,2021
35,Kazakhstan,72.6,131.3,2021
36,Guatemala,72.5,126.5,2021
37,Bahrain,71.6,129.6,2021
38,Tunisia,70.9,123.8,2021
39,Morocco,70.4,122.7,2021
40,Georgia,69.7,125.1,2021
41,Trinidad And Tobago,67.4,116.7,2021
42,Hong Kong,67.3,119.7,2021
43,Indonesia,67.1,115.8,2021
44,Kuwait,66.7,117.6,2021
45,Jamaica,66.3,115.4,2021
46,Turkey,66.2,115.0,2021
47,Algeria,65.3,114.1,2021
48,Bulgaria,64.5,116.4,2021
49,Tanzania,64.4,112.9,2021
50,Ukraine,64.3,111.2,2021
51,Saudi Arabia,64.1,112.3,2021
52,Taiwan,62.9,109.5,2021
53,Colombia,62.9,112.3,2021
54,Malaysia,62.6,107.1,2021
55,Russia,62.3,107.2,2021
56,South Korea,61.8,113.1,2021
57,Mexico,61.2,104.5,2021
58,Serbia,61.2,106.6,2021
59,Bosnia And Herzegovina,60.7,107.5,2021
60,Armenia,60.2,108.3,2021
61,Qatar,60.2,105.6,2021
62,Sri Lanka,59.9,102.8,2021
63,Panama,59.8,104.5,2021
64,Israel,58.4,103.9,2021
65,Romania,58.4,99.8,2021
66,Ecuador,58.3,99.9,2021
67,Libya,57.8,99.9,2021
68,South Africa,57.0,97.2,2021
69,Cyprus,56.8,96.3,2021
70,Mauritius,56.2,96.0,2021
71,Brazil,54.5,93.0,2021
72,Poland,54.3,96.0,2021
73,Italy,53.9,91.0,2021
74,Greece,51.9,90.5,2021
75,Argentina,50.7,86.6,2021
76,Puerto Rico,50.4,86.5,2021
77,United Arab Emirates,50.4,85.7,2021
78,Belgium,50.3,84.7,2021
79,Hungary,47.8,82.7,2021
80,Montenegro,46.9,79.5,2021
81,Uruguay,45.7,80.9,2021
82,Belarus,44.5,74.0,2021
83,Costa Rica,44.1,75.7,2021
84,France,41.8,69.7,2021
85,United Kingdom,40.2,66.5,2021
86,Spain,39.6,64.9,2021
87,Japan,39.4,63.8,2021
88,Slovakia,39.1,65.7,2021
89,United States,38.9,64.3,2021
90,Oman,37.6,60.5,2021
91,Czech Republic,36.3,60.5,2021
92,Latvia,33.9,55.3,2021
93,Ireland,33.6,56.1,2021
94,Singapore,33.2,56.3,2021
95,Croatia,30.6,50.5,2021
96,Portugal,29.6,47.5,2021
97,Canada,28.1,45.9,2021
98,Germany,27.5,44.3,2021
99,Lithuania,27.0,43.6,2021
100,Netherlands,25.3,41.1,2021
101,New Zealand,23.8,40.6,2021
102,Australia,23.5,37.3,2021
103,Luxembourg,23.3,35.0,2021
104,Slovenia,22.7,39.6,2021
105,Denmark,20.4,31.6,2021
106,Switzerland,20.1,32.2,2021
107,Austria,19.2,31.3,2021
108,Estonia,19.0,31.2,2021
109,Sweden,18.4,28.7,2021
110,Norway,18.1,29.2,2021
111,Iceland,16.2,28.0,2021
112,Finland,11.9,20.2,2021
1,Cameroon,93.1,168.4,2022
2,Mongolia,92.0,168.8,2022
3,Myanmar,89.6,161.8,2022
4,Lebanon,89.3,159.6,2022
5,Ghana,89.0,159.6,2022
6,Nigeria,88.3,158.0,2022
7,Afghanistan,86.8,155.1,2022
8,Vietnam,85.5,153.1,2022
9,Monaco,85.3,155.0,2022
10,Bangladesh,85.0,151.9,2022
11,Nepal,84.0,149.4,2022
12,Egypt,83.6,148.8,2022
13,Peru,82.9,147.6,2022
14,Malta,81.0,142.9,2022
15,China,80.6,146.7,2022
16,North Macedonia,79.7,145.1,2022
17,Albania,79.1,139.2,2022
18,Chile,78.5,141.0,2022
19,Cambodia,78.3,138.2,2022
20,Laos,78.2,139.0,2022
21,Ethiopia,77.7,136.7,2022
22,Jordan,76.3,134.2,2022
23,Thailand,75.5,132.8,2022
24,Iran,75.4,137.9,2022
25,Venezuela,75.4,133.8,2022
26,Bolivia,74.6,130.9,2022
27,Zimbabwe,74.6,132.1,2022
28,Dominican Republic,74.4,130.1,2022
29,Azerbaijan,74.3,130.0,2022
30,Iraq,74.3,129.8,2022
31,Syria,73.8,128.5,2022
32,Pakistan,73.7,128.6,2022
33,Kazakhstan,73.4,133.0,2022
34,Philippines,73.4,128.8,2022
35,India,73.1,127.5,2022
36,Guatemala,72.8,127.0,2022
37,Tunisia,70.8,123.7,2022
38,Bahrain,70.7,127.9,2022
39,Morocco,69.3,120.7,2022
40,Kenya,69.3,121.3,2022
41,Georgia,69.3,124.5,2022
42,Hong Kong,67.6,120.3,2022
43,Indonesia,67.2,116.0,2022
44,Trinidad And Tobago,66.7,115.1,2022
45,Kuwait,66.1,116.3,2022
46,Jamaica,65.9,114.8,2022
47,Turkey,65.5,113.6,2022
48,Algeria,65.0,113.7,2022
49,Taiwan,64.7,112.7,2022
50,Moldova,64.6,112.8,2022
51,Bulgaria,64.3,116.1,2022
52,Saudi Arabia,63.8,111.9,2022
53,Tanzania,63.4,111.2,2022
54,Colombia,63.0,111.4,2022
55,Ukraine,62.9,108.4,2022
56,Serbia,62.9,110.0,2022
57,South Korea,62.4,114.1,2022
58,Malaysia,62.1,106.2,2022
59,Russia,61.8,106.2,2022
60,Bosnia And Herzegovina,60.9,107.9,2022
61,Sri Lanka,60.2,103.3,2022
62,Armenia,60.0,108.0,2022
63,Qatar,59.9,105.6,2022
64,Panama,58.7,102.6,2022
65,Romania,58.6,100.2,2022
66,Mexico,58.5,99.1,2022
67,Ecuador,58.2,99.5,2022
68,Israel,57.7,102.4,2022
69,Libya,56.9,99.1,2022
70,Cyprus,56.9,96.3,2022
71,South Africa,56.6,96.4,2022
72,Mauritius,55.2,94.0,2022
73,Poland,54.7,96.9,2022
74,Italy,54.1,91.5,2022
75,Brazil,53.8,91.7,2022
76,Fiji,52.4,90.2,2022
77,Greece,51.9,90.6,2022
78,Argentina,51.2,87.5,2022
79,Belgium,50.1,84.4,2022
80,Puerto Rico,50.0,85.3,2022
81,United Arab Emirates,49.7,84.3,2022
82,Hungary,47.9,82.8,2022
83,Montenegro,47.0,79.9,2022
84,Uruguay,45.2,80.4,2022
85,Belarus,44.8,74.4,2022
86,Costa Rica,44.7,76.5,2022
87,France,42.4,70.7,2022
88,United Kingdom,40.2,66.5,2022
89,Spain,39.7,65.0,2022
90,Slovakia,39.1,65.7,2022
91,Japan,38.8,62.8,2022
92,Oman,37.2,59.8,2022
93,Czech Republic,35.9,59.6,2022
94,United States,35.3,58.4,2022
95,Ireland,34.8,57.9,2022
96,Singapore,33.3,56.5,2022
97,Latvia,32.7,53.1,2022
98,Croatia,31.2,51.5,2022
99,Portugal,30.5,49.0,2022
100,Canada,28.8,46.9,2022
101,Germany,27.8,44.9,2022
102,Lithuania,26.7,43.2,2022
103,Netherlands,25.1,40.7,2022
104,Luxembourg,23.9,36.3,2022
105,Australia,23.9,37.9,2022
106,New Zealand,23.6,40.2,2022
107,Slovenia,22.9,40.0,2022
108,Austria,21.7,35.0,2022
109,Denmark,21.0,32.4,2022
110,Estonia,19.7,32.1,2022
111,Switzerland,19.6,31.3,2022
112,Sweden,18.3,28.6,2022
113,Norway,17.9,28.8,2022
114,Iceland,15.8,27.2,2022
115,Finland,12.1,20.5,2022
1,Mongolia,92.4,169.6,2023
2,Myanmar,89.8,162.3,2023
3,Lebanon,89.4,159.9,2023
4,Ghana,88.3,158.1,2023
5,Nigeria,88.0,157.3,2023
6,Afghanistan,87.4,156.1,2023
7,Monaco,85.7,155.6,2023
8,Bangladesh,85.1,152.0,2023
9,Vietnam,85.1,152.2,2023
10,Nepal,84.1,149.7,2023
11,Egypt,83.2,147.8,2023
12,Peru,82.4,146.6,2023
13,Malta,81.2,143.4,2023
14,North Macedonia,79.7,145.1,2023
15,China,79.3,144.2,2023
16,Cambodia,78.3,138.2,2023
17,Chile,77.9,139.8,2023
18,Ethiopia,76.8,134.9,2023
19,Albania,76.5,134.0,2023
20,Jordan,76.4,134.5,2023
21,Venezuela,75.7,134.2,2023
22,Zimbabwe,75.6,134.0,2023
23,Thailand,75.3,132.5,2023
24,Iran,75.3,138.0,2023
25,Syria,74.7,130.4,2023
26,Iraq,74.0,129.3,2023
27,Azerbaijan,73.9,129.2,2023
28,Pakistan,73.6,128.5,2023
29,Guatemala,73.4,128.0,2023
30,Kazakhstan,73.1,132.4,2023
31,India,73.0,127.4,2023
32,Dominican Republic,72.9,127.1,2023
33,Philippines,72.9,127.8,2023
34,Bolivia,72.2,126.0,2023
35,Bahrain,71.4,128.9,2023
36,Tunisia,70.2,122.4,2023
37,Morocco,69.3,120.6,2023
38,Kenya,69.2,121.1,2023
39,Kuwait,67.8,119.5,2023
40,Georgia,67.8,121.9,2023
41,Hong Kong (China),67.2,119.5,2023
42,Indonesia,67.1,115.9,2023
43,Trinidad And Tobago,66.4,114.8,2023
44,Jamaica,66.0,114.9,2023
45,Turkey,65.1,112.6,2023
46,Taiwan (China),64.9,113.0,2023
47,Serbia,64.1,112.4,2023
48,Moldova,64.0,111.2,2023
49,Bulgaria,63.7,114.8,2023
50,Algeria,63.6,110.9,2023
51,Tanzania,63.4,111.2,2023
52,Saudi Arabia,63.3,110.8,2023
53,Colombia,63.1,111.3,2023
54,South Korea,62.3,113.7,2023
55,Ukraine,62.1,106.8,2023
56,Malaysia,61.7,105.4,2023
57,Russia,60.9,104.4,2023
58,Armenia,60.9,110.0,2023
59,Bosnia And Herzegovina,60.6,106.9,2023
60,Qatar,60.0,105.8,2023
61,Sri Lanka,59.4,101.8,2023
62,Romania,58.5,100.0,2023
63,Mexico,58.5,99.3,2023
64,Ecuador,58.4,99.8,2023
65,Israel,57.4,101.7,2023
66,Panama,57.3,99.9,2023
67,South Africa,56.4,96.0,2023
68,Cyprus,55.3,93.1,2023
69,Mauritius,54.8,93.1,2023
70,Italy,54.7,92.7,2023
71,Poland,54.5,96.6,2023
72,Brazil,53.7,91.3,2023
73,Greece,51.6,90.1,2023
74,Argentina,51.3,87.6,2023
75,Belgium,50.1,84.5,2023
76,Puerto Rico,48.9,83.5,2023
77,United Arab Emirates,48.2,81.5,2023
78,Hungary,47.7,82.6,2023
79,Montenegro,46.6,79.3,2023
80,Belarus,44.5,73.8,2023
81,Costa Rica,44.1,75.6,2023
82,Uruguay,43.9,78.2,2023
83,France,42.9,71.5,2023
84,United Kingdom,40.4,66.9,2023
85,Spain,39.6,64.9,2023
86,Japan,39.2,63.4,2023
87,Slovakia,38.3,64.2,2023
88,Oman,37.2,59.5,2023
89,United States,36.1,59.6,2023
90,Czech Republic,35.3,58.5,2023
91,Ireland,34.8,58.0,2023
92,Singapore,33.1,56.2,2023
93,Croatia,32.0,52.6,2023
94,Latvia,31.5,50.8,2023
95,Portugal,30.6,49.4,2023
96,Canada,29.1,47.5,2023
97,Germany,28.8,46.6,2023
98,Lithuania,25.7,41.4,2023
99,Australia,25.4,40.4,2023
100,New Zealand,24.2,41.2,2023
101,Netherlands,23.7,38.2,2023
102,Slovenia,22.7,39.6,2023
103,Luxembourg,21.9,32.8,2023
104,Austria,21.5,34.4,2023
105,Denmark,21.3,33.1,2023
106,Switzerland,19.6,31.4,2023
107,Sweden,18.0,28.0,2023
108,Estonia,17.9,29.3,2023
109,Norway,17.7,28.5,2023
110,Iceland,15.2,26.1,2023
111,Finland,12.0,20.1,2023
1,Cameroon,93.8,170.0,2024
2,Myanmar,89.8,162.2,2024
3,Lebanon,89.4,159.9,2024
4,Nigeria,87.9,157.1,2024
5,Ghana,87.9,157.4,2024
6,Mongolia,87.7,160.3,2024
7,Bangladesh,85.6,153.2,2024
8,Afghanistan,84.9,151.5,2024
9,Nepal,84.0,149.3,2024
10,Vietnam,83.8,149.6,2024
11,Egypt,82.8,147.0,2024
12,Peru,82.7,147.2,2024
13,North Macedonia,79.6,144.9,2024
14,Cambodia,78.2,138.0,2024
15,China,78.2,141.8,2024
16,Monaco,77.7,139.1,2024
17,Chile,77.1,138.3,2024
18,Albania,77.0,135.0,2024
19,Zimbabwe,76.6,136.2,2024
20,Jordan,76.4,134.4,2024
21,Venezuela,75.6,134.1,2024
22,Thailand,75.5,132.9,2024
23,Malta,75.4,132.2,2024
24,Syria,75.0,131.0,2024
25,Iran,74.8,137.0,2024
26,Ethiopia,74.6,130.6,2024
27,Kazakhstan,73.6,133.5,2024
28,Guatemala,73.5,128.2,2024
29,Azerbaijan,73.1,127.6,2024
30,Pakistan,72.9,127.1,2024
31,India,72.8,127.0,2024
32,Bolivia,72.7,127.2,2024
33,Philippines,72.5,127.2,2024
34,Iraq,72.5,126.2,2024
35,Dominican Republic,71.9,125.2,2024
36,Bahrain,71.2,128.6,2024
37,Tunisia,69.6,121.2,2024
38,Morocco,69.6,120.9,2024
39,Kenya,69.3,121.3,2024
40,Georgia,68.4,122.8,2024
41,Kuwait,68.0,120.1,2024
42,Indonesia,67.4,116.4,2024
43,Hong Kong (China),66.9,118.7,2024
44,Trinidad And Tobago,66.5,114.9,2024
45,Jamaica,66.0,114.8,2024
46,Serbia,65.0,114.3,2024
47,Turkey,64.7,111.9,2024
48,Saudi Arabia,64.1,112.1,2024
49,Taiwan,63.9,110.9,2024
50,Tanzania,63.5,111.2,2024
51,Bulgaria,63.3,114.1,2024
52,Algeria,63.2,109.9,2024
53,Colombia,62.8,110.7,2024
54,Moldova,62.6,108.4,2024
55,Ukraine,61.8,106.3,2024
56,Armenia,61.7,112.2,2024
57,Malaysia,61.4,104.7,2024
58,South Korea,61.4,112.2,2024
59,Bosnia And Herzegovina,60.5,106.9,2024
60,Qatar,60.5,106.6,2024
61,Russia,59.6,101.9,2024
62,Romania,58.9,100.7,2024
63,Sri Lanka,58.8,100.6,2024
64,Ecuador,58.6,100.1,2024
65,Mexico,58.1,98.4,2024
66,Poland,57.5,101.4,2024
67,Israel,57.0,100.8,2024
68,Cyprus,56.4,95.2,2024
69,South Africa,56.3,95.9,2024
70,Panama,55.8,96.9,2024
71,Mauritius,54.8,93.1,2024
72,Italy,54.0,91.4,2024
73,Brazil,52.6,89.4,2024
74,Greece,52.0,90.7,2024
75,Argentina,51.1,87.2,2024
76,Belgium,49.7,83.8,2024
77,United Arab Emirates,49.0,82.9,2024
78,Puerto Rico,48.7,83.3,2024
79,Hungary,48.0,83.1,2024
80,Montenegro,46.0,77.5,2024
81,Belarus,44.9,74.6,2024
82,Costa Rica,43.8,74.7,2024
83,Uruguay,43.4,77.1,2024
84,France,43.4,72.4,2024
85,United Kingdom,40.5,67.0,2024
86,Japan,38.6,62.3,2024
87,Oman,38.4,61.7,2024
88,Slovakia,37.2,62.4,2024
89,United States,37.1,61.3,2024
90,Spain,35.6,57.4,2024
91,Czech Republic,34.8,57.6,2024
92,Ireland,34.2,56.7,2024
93,Singapore,33.3,56.4,2024
94,Croatia,31.3,51.3,2024
95,Latvia,30.8,49.6,2024
96,Canada,30.2,49.3,2024
97,Australia,29.4,47.3,2024
98,Germany,29.2,47.1,2024
99,Portugal,28.7,45.9,2024
100,New Zealand,28.1,47.5,2024
101,Lithuania,26.9,43.4,2024
102,Slovenia,22.4,38.9,2024
103,Switzerland,22.2,35.7,2024
104,Denmark,21.9,34.0,2024
105,Austria,21.8,35.0,2024
106,Luxembourg,21.8,32.8,2024
107,Netherlands,21.8,34.6,2024
108,Norway,18.6,29.9,2024
109,Sweden,17.7,27.5,2024
110,Estonia,16.7,27.0,2024
111,Iceland,15.8,27.1,2024
112,Finland,12.0,19.9,2024
1,Cameroon,91.9,166.0,2025
2,Myanmar,89.8,162.2,2025
3,Lebanon,89.6,160.3,2025
4,Nigeria,87.9,157.1,2025
5,Mongolia,87.9,160.7,2025
6,Ghana,86.3,154.5,2025
7,Bangladesh,85.6,153.0,2025
8,Afghanistan,84.4,150.5,2025
9,Nepal,84.0,149.4,2025
10,Vietnam,83.8,149.6,2025
11,Egypt,82.7,146.9,2025
12,Peru,81.9,145.6,2025
13,North Macedonia,79.2,144.1,2025
14,Zimbabwe,78.7,140.1,2025
15,Monaco,78.2,140.2,2025
16,Cambodia,77.5,136.6,2025
17,Chile,77.4,138.7,2025
18,Albania,77.3,135.5,2025
19,Jordan,77.1,135.7,2025
20,China,76.7,139.1,2025
21,Malta,75.7,132.7,2025
22,Thailand,75.6,133.0,2025
23,Iran,75.3,137.9,2025
24,Syria,75.1,131.0,2025
25,Ethiopia,73.8,128.9,2025
26,Venezuela,73.7,130.4,2025
27,Guatemala,73.5,128.2,2025
28,Pakistan,73.2,127.7,2025
29,Dominican Republic,73.1,127.4,2025
30,Kazakhstan,72.9,131.9,2025
31,India,72.8,127.0,2025
32,Philippines,72.5,127.2,2025
33,Bolivia,72.0,125.8,2025
34,Azerbaijan,72.0,125.5,2025
35,Bahrain,71.6,129.3,2025
36,Kyrgyzstan,71.2,132.3,2025
37,Iraq,71.0,123.3,2025
38,Tunisia,69.7,121.2,2025
39,Kuwait,69.4,122.7,2025
40,Kenya,69.0,120.8,2025
41,Morocco,68.4,118.6,2025
42,Indonesia,68.1,117.8,2025
43,Georgia,67.6,120.9,2025
44,Trinidad And Tobago,67.1,116.2,2025
45,Hong Kong (China),66.5,117.9,2025
46,Jamaica,66.0,114.8,2025
47,Serbia,65.9,116.2,2025
48,Taiwan,64.1,111.3,2025
49,Turkey,64.1,110.6,2025
50,Algeria,63.8,111.0,2025
51,Bulgaria,62.8,113.0,2025
52,Saudi Arabia,62.4,109.1,2025
53,Ukraine,62.2,107.1,2025
54,Colombia,62.2,109.6,2025
55,Tanzania,62.0,108.9,2025
56,Armenia,61.8,112.9,2025
57,Malaysia,60.9,103.7,2025
58,Moldova,60.5,104.4,2025
59,Qatar,60.0,106.1,2025
60,Bosnia And Herzegovina,59.7,105.2,2025
61,Ecuador,59.1,101.0,2025
62,Russia,58.5,99.8,2025
63,Mexico,58.3,99.0,2025
64,Romania,58.2,99.3,2025
65,Sri Lanka,58.0,99.1,2025
66,South Korea,57.5,104.2,2025
67,Israel,56.7,100.4,2025
68,South Africa,56.7,96.6,2025
69,Panama,55.6,96.6,2025
70,Cyprus,55.4,93.4,2025
71,Poland,55.3,98.1,2025
72,Uzbekistan,55.3,94.5,2025
73,Mauritius,54.6,92.8,2025
74,Italy,53.4,90.6,2025
75,Brazil,52.8,89.7,2025
76,Libya,52.0,89.2,2025
77,Argentina,50.8,86.6,2025
78,Greece,49.4,86.1,2025
79,Belgium,49.2,82.8,2025
80,United Arab Emirates,48.2,81.5,2025
81,Puerto Rico,47.9,82.0,2025
82,Hungary,46.7,80.8,2025
83,Montenegro,45.3,76.1,2025
84,Belarus,44.5,74.0,2025
85,France,43.7,72.9,2025
86,Uruguay,43.3,77.3,2025
87,Costa Rica,41.6,70.7,2025
88,United Kingdom,40.7,67.3,2025
89,Japan,38.2,61.6,2025
90,Slovakia,37.1,62.0,2025
91,United States,36.9,60.9,2025
92,Oman,36.4,57.9,2025
93,Spain,35.3,56.8,2025
94,Ireland,34.9,57.9,2025
95,Czech Republic,34.6,57.1,2025
96,Singapore,32.3,55.0,2025
97,Croatia,31.6,51.9,2025
98,Latvia,30.1,48.4,2025
99,Canada,29.8,48.7,2025
100,Portugal,29.5,47.3,2025
101,Germany,28.8,46.5,2025
102,Australia,26.9,43.0,2025
103,New Zealand,26.0,44.1,2025
104,Lithuania,25.9,41.9,2025
105,Switzerland,24.0,38.4,2025
106,Luxembourg,22.9,34.6,2025
107,Slovenia,22.2,38.6,2025
108,Netherlands,20.9,33.2,2025
109,Denmark,20.9,32.4,2025
110,Austria,20.6,33.2,2025
111,Norway,18.3,29.5,2025
112,Sweden,17.6,27.4,2025
113,Estonia,16.9,27.1,2025
114,Iceland,16.7,27.9,2025
115,Finland,11.7,19.6,2025
