rank,country,health_care_index,health_care_exp_index,Year
52,Lebanon,62.7,117.1,2022
53,Latvia,62.4,112.2,2022
54,Panama,61.1,108.4,2022
55,Saudi Arabia,60.9,108.5,2022
56,Indonesia,60.4,107.3,2022
57,Slovakia,60.3,109.1,2022
58,Kazakhstan,60.0,105.9,2022
59,Pakistan,59.6,105.4,2022
60,Kuwait,59.4,106.1,2022
61,Russia,59.1,104.4,2022
62,Vietnam,58.9,103.1,2022
63,Oman,58.2,103.5,2022
64,Nepal,57.9,101.8,2022
65,Brazil,57.8,102.9,2022
66,Poland,57.8,102.9,2022
67,Puerto Rico,57.7,104.9,2022
68,Greece,57.3,101.8,2022
69,Tunisia,56.5,99.0,2022
70,Bulgaria,56.4,100.1,2022
71,Romania,56.2,99.1,2022
72,Peru,56.2,98.3,2022
73,North Macedonia,55.8,99.7,2022
74,Dominican Republic,55.5,97.3,2022
75,Ukraine,54.3,95.0,2022
76,Bosnia And Herzegovina,54.3,96.9,2022
77,Georgia,54.2,94.1,2022
78,Hungary,53.4,96.0,2022
79,Trinidad And Tobago,53.4,98.3,2022
80,Algeria,52.9,95.9,2022
81,Serbia,52.5,94.2,2022
82,Ireland,52.3,95.1,2022
83,Iran,52.3,91.0,2022
84,Cyprus,52.0,89.9,2022
85,Albania,50.5,87.9,2022
86,Cambodia,49.4,87.4,2022
87,Nigeria,48.5,83.7,2022
88,Egypt,47.0,80.8,2022
89,Morocco,46.7,79.9,2022
90,Belarus,45.6,80.5,2022
91,Malta,45.6,77.4,2022
92,Azerbaijan,44.8,77.7,2022
93,Iraq,44.6,76.1,2022
94,Bangladesh,42.3,72.2,2022
95,Venezuela,39.3,68.6,2022
1,Taiwan (China),85.9,157.8,2023
2,South Korea,83.0,152.0,2023
3,Japan,80.3,146.4,2023
4,France,79.4,145.3,2023
5,Denmark,79.2,145.8,2023
6,Spain,77.9,143.3,2023
7,Thailand,77.9,142.0,2023
8,Austria,77.2,140.7,2023
9,Netherlands,77.1,140.7,2023
10,Finland,77.1,140.6,2023
11,Norway,76.7,140.3,2023
12,Czech Republic,75.5,138.6,2023
13,Australia,75.3,136.9,2023
14,Belgium,75.2,136.4,2023
15,Luxembourg,75.0,136.0,2023
16,Switzerland,74.5,139.3,2023
17,United Kingdom,74.1,136.0,2023
18,Estonia,74.1,135.8,2023
19,Qatar,73.8,134.3,2023
20,Israel,73.5,134.5,2023
21,Lithuania,73.2,132.9,2023
22,Mexico,72.5,130.8,2023
23,Sri Lanka,72.0,130.1,2023
24,Germany,71.9,130.7,2023
25,Portugal,71.5,129.9,2023
26,New Zealand,71.0,128.7,2023
27,Turkey,71.0,127.8,2023
28,Singapore,70.9,131.4,2023
29,Canada,70.4,129.2,2023
30,Malaysia,70.0,126.1,2023
31,United Arab Emirates,69.6,128.1,2023
32,Ecuador,69.5,124.6,2023
33,Argentina,68.9,124.8,2023
34,Sweden,68.6,125.6,2023
35,United States,68.6,126.0,2023
36,Uruguay,68.4,123.6,2023
37,Colombia,67.9,121.9,2023
38,Philippines,67.8,121.4,2023
39,Guatemala,67.5,120.6,2023
40,China,67.5,121.2,2023
41,Iceland,67.0,122.2,2023
42,Italy,66.3,120.1,2023
43,Hong Kong (China),65.8,119.5,2023
44,Slovenia,65.3,120.5,2023
45,India,65.1,116.3,2023
46,Jordan,64.9,116.7,2023
47,Chile,64.4,117.1,2023
48,Croatia,63.9,116.6,2023
49,South Africa,63.7,114.8,2023
50,Lebanon,63.2,117.8,2023
51,Costa Rica,63.1,113.7,2023
52,Latvia,62.4,111.8,2023
53,Kenya,61.8,109.7,2023
54,Saudi Arabia,61.2,109.1,2023
55,Panama,61.0,108.2,2023
56,Indonesia,60.5,107.4,2023
57,Slovakia,60.1,108.6,2023
58,Kazakhstan,59.9,105.8,2023
59,Russia,59.7,105.8,2023
60,Kuwait,59.7,106.7,2023
61,Pakistan,59.5,105.2,2023
62,Vietnam,59.3,103.9,2023
63,Oman,58.2,103.6,2023
64,Brazil,58.2,103.5,2023
65,Poland,57.6,102.6,2023
66,Greece,57.5,102.1,2023
67,Puerto Rico,57.3,104.1,2023
68,Tunisia,57.1,100.2,2023
69,Nepal,57.0,100.2,2023
70,Bulgaria,56.7,100.6,2023
71,Romania,56.5,99.7,2023
72,Peru,55.9,97.8,2023
73,Dominican Republic,55.5,97.3,2023
74,North Macedonia,55.3,98.7,2023
75,Ukraine,55.2,96.8,2023
76,Bosnia And Herzegovina,54.9,98.0,2023
77,Georgia,54.8,95.5,2023
78,Cyprus,54.7,95.3,2023
79,Hungary,54.4,97.6,2023
80,Algeria,53.6,97.1,2023
81,Trinidad And Tobago,53.4,98.5,2023
82,Iran,52.3,91.0,2023
83,Serbia,52.2,93.6,2023
84,Ireland,51.8,94.2,2023
85,Albania,49.6,86.3,2023
86,Nigeria,48.5,83.7,2023
87,Egypt,47.6,81.8,2023
88,Belarus,47.1,83.0,2023
89,Azerbaijan,46.8,81.4,2023
90,Morocco,45.8,78.2,2023
91,Malta,45.4,77.3,2023
92,Iraq,43.5,73.9,2023
93,Bangladesh,42.3,72.3,2023
94,Venezuela,39.3,68.6,2023
1,Taiwan,86.0,158.2,2024
2,South Korea,82.7,151.3,2024
3,Japan,79.3,144.5,2024
4,Netherlands,78.9,144.3,2024
5,France,78.1,142.8,2024
6,Denmark,78.0,143.6,2024
7,Spain,77.6,142.6,2024
8,Finland,77.3,140.9,2024
9,Thailand,77.2,140.5,2024
10,Austria,76.6,139.5,2024
11,Luxembourg,76.3,138.9,2024
12,Estonia,76.3,140.1,2024
13,Norway,75.7,138.2,2024
14,Czech Republic,75.5,138.6,2024
15,Belgium,75.3,136.6,2024
16,Lithuania,74.4,135.4,2024
17,Israel,73.5,134.6,2024
18,United Kingdom,73.5,134.7,2024
19,Portugal,72.7,132.2,2024
20,Switzerland,72.6,135.8,2024
21,Mexico,72.5,130.7,2024
22,Qatar,72.3,131.4,2024
23,Germany,71.7,130.2,2024
24,Sri Lanka,71.1,128.3,2024
25,Turkey,70.7,127.2,2024
26,Singapore,70.6,130.7,2024
27,Malaysia,70.1,126.2,2024
28,Australia,69.8,126.0,2024
29,United Arab Emirates,69.2,127.2,2024
30,Canada,69.1,126.7,2024
31,Sweden,68.6,125.6,2024
32,Uruguay,68.4,123.6,2024
33,Colombia,68.3,122.8,2024
34,China,68.1,122.5,2024
35,Argentina,68.1,123.3,2024
36,Guatemala,68.0,121.5,2024
37,New Zealand,67.7,122.0,2024
38,United States,67.6,124.1,2024
39,Ecuador,67.6,120.7,2024
40,Philippines,67.4,120.6,2024
41,Iceland,67.1,122.4,2024
42,Slovenia,66.5,122.8,2024
43,Hong Kong (China),65.8,119.5,2024
44,Italy,65.6,118.8,2024
45,Croatia,65.1,118.5,2024
46,Jordan,65.0,116.8,2024
47,India,64.9,115.8,2024
48,Costa Rica,64.6,116.4,2024
49,South Africa,64.0,115.5,2024
50,Lebanon,63.5,118.4,2024
51,Chile,63.4,115.3,2024
52,Latvia,62.6,112.3,2024
53,Kenya,61.1,108.3,2024
54,Oman,61.0,108.6,2024
55,Russia,60.9,107.9,2024
56,Indonesia,60.8,108.0,2024
57,Vietnam,60.8,106.8,2024
58,Saudi Arabia,60.4,107.5,2024
59,Panama,60.1,106.5,2024
60,Kazakhstan,60.1,106.2,2024
61,Pakistan,59.8,105.7,2024
62,Slovakia,59.2,107.0,2024
63,Brazil,58.9,104.9,2024
64,Puerto Rico,58.3,106.0,2024
65,Kuwait,57.9,103.4,2024
66,Nepal,57.6,101.3,2024
67,Dominican Republic,57.6,101.3,2024
68,Greece,57.3,101.9,2024
69,Bulgaria,57.2,101.5,2024
70,Cyprus,57.2,100.1,2024
71,Tunisia,57.0,100.0,2024
72,Peru,56.4,98.8,2024
73,Romania,56.3,99.2,2024
74,Bosnia And Herzegovina,55.7,99.6,2024
75,Ukraine,55.4,97.0,2024
76,Poland,55.4,98.1,2024
77,North Macedonia,55.1,98.5,2024
78,Algeria,54.7,99.0,2024
79,Georgia,54.5,94.9,2024
80,Hungary,54.0,97.0,2024
81,Trinidad And Tobago,53.5,99.1,2024
82,Iran,53.0,92.4,2024
83,Malta,52.3,90.8,2024
84,Serbia,52.1,93.5,2024
85,Ireland,51.8,94.0,2024
86,Albania,49.5,86.1,2024
87,Nigeria,48.7,84.2,2024
88,Belarus,48.0,84.7,2024
89,Azerbaijan,47.7,82.9,2024
90,Egypt,47.5,81.7,2024
91,Iraq,45.7,78.0,2024
92,Morocco,45.1,77.0,2024
93,Bangladesh,42.3,72.4,2024
94,Venezuela,38.7,67.8,2024
1,Taiwan,86.5,159.2,2025
2,South Korea,82.8,151.5,2025
3,Japan,80.0,145.8,2025
4,Netherlands,79.3,145.1,2025
5,Denmark,78.4,144.2,2025
6,Austria,77.9,142.1,2025
7,France,77.7,142.0,2025
8,Finland,77.5,141.4,2025
9,Thailand,77.5,141.0,2025
10,Spain,77.3,141.9,2025
11,Ecuador,77.1,139.8,2025
12,Belgium,75.9,137.8,2025
13,Norway,75.6,138.1,2025
14,Czech Republic,75.5,138.6,2025
15,Estonia,75.5,138.4,2025
16,Luxembourg,75.2,136.6,2025
17,Lithuania,75.0,136.7,2025
18,Qatar,73.4,133.7,2025
19,Australia,73.4,133.0,2025
20,Israel,73.2,134.2,2025
21,United Kingdom,72.7,133.3,2025
22,Mexico,72.5,130.7,2025
23,Portugal,72.2,131.1,2025
24,Germany,71.9,130.8,2025
25,Singapore,71.8,133.3,2025
26,Switzerland,71.5,133.6,2025
27,Sri Lanka,71.4,128.8,2025
28,Turkey,71.2,128.3,2025
29,United Arab Emirates,70.6,130.1,2025
30,Malaysia,70.3,126.7,2025
31,Canada,68.7,126.0,2025
32,China,68.7,123.7,2025
33,Uruguay,68.6,123.9,2025
34,Colombia,68.6,123.4,2025
35,New Zealand,68.4,123.6,2025
36,Sweden,68.3,125.0,2025
37,Argentina,68.0,123.1,2025
38,United States,67.8,124.4,2025
39,Iceland,67.6,123.4,2025
40,Guatemala,67.3,120.2,2025
41,Philippines,67.3,120.4,2025
42,Hong Kong (China),66.1,120.2,2025
43,Slovenia,66.1,122.0,2025
44,India,65.5,117.1,2025
45,Jordan,65.2,117.2,2025
46,Oman,65.1,116.5,2025
47,Italy,65.1,117.7,2025
48,Croatia,64.7,117.9,2025
49,Costa Rica,64.3,115.9,2025
50,South Africa,63.8,115.1,2025
51,Lebanon,63.7,118.7,2025
52,Chile,63.5,115.7,2025
53,Latvia,62.4,111.8,2025
54,Kenya,62.0,110.1,2025
55,Saudi Arabia,61.8,110.2,2025
56,Russia,61.5,109.2,2025
57,Vietnam,61.3,107.8,2025
58,Indonesia,60.9,108.0,2025
59,Panama,60.7,107.5,2025
60,Kazakhstan,60.7,107.2,2025
61,Pakistan,59.3,104.8,2025
62,Brazil,59.1,105.2,2025
63,Armenia,59.0,104.0,2025
64,Puerto Rico,58.5,106.2,2025
65,Greece,58.5,104.2,2025
66,Slovakia,58.4,105.4,2025
67,Kuwait,58.4,104.2,2025
68,Dominican Republic,58.3,102.4,2025
69,Bulgaria,58.1,103.2,2025
70,Poland,58.0,103.3,2025
71,Nepal,57.7,101.6,2025
72,Ghana,57.4,101.6,2025
73,Tunisia,57.2,100.3,2025
74,Cyprus,57.1,100.0,2025
75,Romania,56.5,99.6,2025
76,Peru,56.3,98.5,2025
77,Ukraine,55.9,97.9,2025
78,Georgia,55.6,97.1,2025
79,Bosnia And Herzegovina,55.6,99.5,2025
80,North Macedonia,55.1,98.7,2025
81,Algeria,54.5,98.6,2025
82,Trinidad And Tobago,54.3,100.6,2025
83,Hungary,54.3,97.5,2025
84,Iran,52.8,91.9,2025
85,Malta,52.5,91.1,2025
86,Serbia,52.1,93.4,2025
87,Ireland,51.5,93.6,2025
88,Cambodia,50.7,90.6,2025
89,Nigeria,49.1,84.8,2025
90,Belarus,48.5,85.6,2025
91,Azerbaijan,48.3,84.0,2025
92,Albania,48.2,83.7,2025
93,Egypt,47.3,81.2,2025
94,Morocco,46.8,80.2,2025
95,Iraq,45.9,78.3,2025
96,Bangladesh,42.2,72.1,2025
97,Venezuela,38.7,67.8,2025
