rank,country,traffic_index,time_index_in_minutes,time_exp_index,inefficiency_index,co2_emission_index,Year
69,Slovenia,99.2,26.1,27.4,137.6,3156.9,2023
70,Malta,98.6,29.2,80.1,109.9,2488.3,2023
71,Sweden,98.2,29.4,84.8,132.7,2309.2,2023
72,Croatia,96.1,26.5,29.8,98.0,2936.3,2023
73,Bosnia And Herzegovina,95.1,27.1,34.5,102.8,2705.8,2023
74,Switzerland,93.3,28.4,56.2,114.5,2182.2,2023
75,Norway,92.6,26.7,31.1,119.6,2438.5,2023
76,Czech Republic,90.6,29.5,88.5,71.7,1872.7,2023
77,Lithuania,89.6,25.0,25.0,75.5,2587.8,2023
78,Netherlands,89.4,25.5,25.7,149.0,2170.3,2023
79,North Macedonia,89.4,25.7,26.0,96.5,2379.0,2023
80,Iceland,88.9,20.6,20.6,77.7,3020.9,2023
81,Denmark,87.5,28.5,59.3,119.1,1625.0,2023
82,Estonia,84.0,23.8,23.8,95.2,2076.9,2023
83,Finland,82.6,27.2,36.0,72.8,1665.6,2023
84,Austria,79.1,24.8,24.8,79.6,1630.6,2023
1,Nigeria,314.5,63.3,20142.2,434.6,7823.6,2024
2,Bangladesh,261.8,57.7,13177.6,324.6,5072.5,2024
3,Sri Lanka,259.0,54.8,10185.8,360.1,7116.2,2024
4,Kenya,239.8,51.2,7221.7,271.2,7586.4,2024
5,Egypt,229.5,48.1,5166.1,280.9,8604.9,2024
6,Peru,218.2,49.1,5761.2,258.5,5948.1,2024
7,Iran,212.6,46.8,4411.4,232.6,7079.6,2024
8,India,206.2,46.8,4375.0,248.0,6010.8,2024
9,Colombia,200.3,47.3,4686.4,213.1,4885.5,2024
10,Australia,196.7,42.8,2552.5,333.4,7243.7,2024
11,Indonesia,193.4,43.0,2622.4,237.7,7027.8,2024
12,Turkey,191.6,44.1,3076.4,220.7,5958.7,2024
13,Philippines,188.6,43.1,2685.2,238.2,6115.0,2024
14,South Africa,187.6,38.7,1276.7,239.8,9533.3,2024
15,Jordan,187.4,40.6,1792.1,211.7,8076.0,2024
16,Lebanon,182.4,38.2,1147.5,213.2,9170.1,2024
17,Argentina,177.5,44.2,3122.3,193.2,4041.4,2024
18,United Arab Emirates,176.2,37.4,978.9,282.2,8221.1,2024
19,Mexico,175.1,39.2,1396.4,235.4,6918.5,2024
20,Thailand,174.4,39.0,1332.6,227.0,7029.2,2024
21,Russia,173.2,43.2,2686.0,182.0,4191.7,2024
22,Brazil,171.4,40.6,1786.7,205.2,5501.5,2024
23,Malaysia,168.9,37.1,913.9,189.0,7707.8,2024
24,Kuwait,163.5,35.0,553.0,209.4,8194.1,2024
25,Pakistan,163.1,38.2,1148.3,197.5,5930.9,2024
26,Ecuador,160.2,37.2,933.3,175.7,6274.9,2024
27,United States,156.5,33.8,405.6,257.3,7488.4,2024
28,Panama,156.3,35.1,578.1,177.8,7012.7,2024
29,Azerbaijan,155.0,39.1,1375.4,195.8,4201.1,2024
30,Israel,154.8,36.8,859.4,169.9,5723.8,2024
31,New Zealand,154.5,35.6,645.3,245.8,6051.6,2024
32,Ireland,149.9,37.8,1066.5,174.7,4387.2,2024
33,South Korea,148.6,40.4,1719.9,171.0,2887.7,2024
34,Singapore,148.3,41.4,2063.7,146.6,2428.4,2024
35,Canada,146.2,34.6,505.2,208.0,5579.9,2024
36,Qatar,145.7,31.0,159.9,195.1,7758.2,2024
37,China,145.6,39.0,1352.9,166.4,3240.8,2024
38,Saudi Arabia,144.7,30.9,157.0,209.6,7531.3,2024
39,Hong Kong (China),144.0,42.4,2386.0,150.2,1644.7,2024
40,Ukraine,143.3,37.7,1043.9,131.4,3814.5,2024
41,Venezuela,141.6,32.8,299.3,191.0,6036.7,2024
42,Belgium,141.6,35.5,633.1,183.2,4535.8,2024
43,Uruguay,139.8,37.8,1061.8,148.0,3281.9,2024
44,Japan,139.2,40.2,1675.0,176.7,2006.2,2024
45,Georgia,139.0,38.9,1325.8,180.4,2520.1,2024
46,Kazakhstan,136.7,35.8,687.7,145.7,3917.0,2024
47,Morocco,134.3,36.1,728.7,145.2,3503.8,2024
48,United Kingdom,132.8,34.6,505.7,158.4,3980.3,2024
49,Greece,132.2,33.6,380.5,143.2,4509.1,2024
50,Chile,131.6,36.2,751.1,117.2,3264.2,2024
51,France,128.3,34.8,525.1,141.6,3444.0,2024
52,Hungary,126.5,35.8,684.6,132.0,2815.0,2024
53,Italy,126.1,32.8,296.0,149.3,4088.3,2024
54,Poland,123.1,32.9,307.3,117.5,3828.3,2024
55,Romania,123.0,33.3,344.7,128.2,3582.5,2024
56,Switzerland,122.2,33.1,326.1,196.8,3248.1,2024
57,Oman,118.5,21.9,21.9,268.5,5698.2,2024
58,Taiwan,115.6,31.6,202.4,129.9,3401.9,2024
59,Albania,114.7,36.7,844.8,105.7,1492.0,2024
60,Belarus,110.9,30.8,151.8,95.9,3359.5,2024
61,Serbia,110.3,30.9,152.9,120.6,3152.4,2024
62,Vietnam,107.6,29.1,75.1,116.6,3485.1,2024
63,Cyprus,106.7,23.4,23.4,141.4,4438.9,2024
64,Armenia,104.8,30.5,131.6,83.5,2885.3,2024
65,Portugal,104.8,27.9,46.7,116.7,3502.7,2024
66,Latvia,104.1,29.0,71.7,114.3,3135.8,2024
67,Germany,102.3,30.3,124.8,129.1,2444.3,2024
68,Luxembourg,101.5,26.1,27.4,114.2,3536.2,2024
69,Bulgaria,100.2,29.1,74.5,93.1,2794.5,2024
70,Slovakia,98.8,27.4,37.9,157.9,2776.7,2024
71,Slovenia,96.9,25.2,25.2,133.9,3036.1,2024
72,Sweden,96.4,29.1,75.9,130.1,2229.2,2024
73,Spain,96.3,26.4,28.7,120.1,2869.0,2024
74,Iceland,95.4,21.9,21.9,94.2,3488.0,2024
75,Malta,95.0,28.2,52.7,105.0,2428.7,2024
76,Croatia,94.4,26.0,26.9,94.6,2859.9,2024
77,Norway,94.0,26.8,32.0,128.1,2515.7,2024
78,Bosnia And Herzegovina,93.1,26.6,30.4,100.4,2595.7,2024
79,Czech Republic,89.5,29.2,79.7,73.4,1830.7,2024
80,Denmark,87.4,28.7,64.3,123.5,1564.0,2024
81,North Macedonia,84.8,24.9,24.9,71.8,2161.6,2024
82,Netherlands,84.6,23.7,23.7,138.0,1954.7,2024
83,Lithuania,84.3,23.8,23.8,70.2,2233.3,2024
84,Finland,79.9,26.0,27.1,70.6,1623.9,2024
85,Austria,77.5,24.1,24.1,76.4,1585.6,2024
86,Estonia,77.5,21.8,21.8,85.3,1742.8,2024
1,Nigeria,334.8,65.3,23178.0,443.5,9261.8,2025
2,Costa Rica,301.0,60.0,15793.9,317.8,9516.5,2025
3,Sri Lanka,256.8,54.2,9722.4,356.3,7229.9,2025
4,Bangladesh,253.2,56.5,11901.5,316.2,4875.4,2025
5,Kenya,240.1,51.6,7510.1,269.7,7305.9,2025
6,Egypt,226.7,47.7,4894.7,278.8,8533.4,2025
7,Peru,225.1,49.8,6211.7,268.0,6425.8,2025
8,Iran,212.2,46.8,4412.3,231.6,7003.1,2025
9,India,204.5,46.5,4208.0,244.5,6014.9,2025
10,Colombia,198.0,46.7,4315.1,209.3,5067.0,2025
11,Indonesia,193.7,43.1,2680.5,236.2,6957.4,2025
12,Turkey,188.3,43.7,2894.3,211.4,5824.4,2025
13,Jordan,187.1,40.3,1711.0,220.0,8206.7,2025
14,South Africa,186.1,38.5,1218.5,238.1,9471.0,2025
15,Lebanon,183.8,38.5,1222.0,214.3,9166.4,2025
16,Philippines,178.7,41.6,2129.7,230.1,5738.4,2025
17,Argentina,175.9,43.8,2945.7,191.9,4093.8,2025
18,Mexico,174.2,39.2,1384.4,232.3,6826.3,2025
19,Russia,173.9,43.4,2777.7,182.2,4140.5,2025
20,Brazil,170.6,40.5,1751.5,205.5,5469.2,2025
21,Thailand,168.5,38.1,1121.9,220.4,6734.3,2025
22,United Arab Emirates,168.4,36.1,727.7,256.2,7984.6,2025
23,Malaysia,168.1,37.0,885.7,186.4,7695.6,2025
24,Pakistan,164.5,38.3,1182.2,199.1,6036.0,2025
25,Australia,163.0,37.4,974.8,238.2,6236.3,2025
26,Kuwait,162.0,34.7,522.2,205.6,8103.7,2025
27,Azerbaijan,160.2,40.2,1676.9,196.5,4221.9,2025
28,Panama,156.4,35.2,592.2,179.4,6953.3,2025
29,Israel,155.6,36.8,860.4,168.1,5855.9,2025
30,Ecuador,154.8,37.1,923.6,161.9,5549.1,2025
31,Uruguay,153.2,40.0,1609.5,164.6,3636.4,2025
32,United States,152.6,33.1,332.8,239.4,7357.5,2025
33,Puerto Rico,151.0,32.6,282.5,161.5,7896.3,2025
34,Ireland,147.6,37.5,993.6,170.6,4288.2,2025
35,China,147.4,38.7,1279.7,171.7,3574.1,2025
36,Singapore,145.8,41.0,1900.9,144.1,2424.3,2025
37,Ukraine,144.4,37.8,1069.9,134.9,3876.3,2025
38,South Korea,144.1,39.7,1531.8,164.1,2750.3,2025
39,Hong Kong (China),142.2,41.8,2191.5,148.4,1712.5,2025
40,Saudi Arabia,140.9,30.2,117.5,182.9,7464.9,2025
41,Venezuela,140.9,32.6,282.0,187.6,6044.0,2025
42,Japan,140.2,40.1,1634.1,180.8,2137.2,2025
43,Canada,139.7,33.5,368.2,183.2,5394.5,2025
44,Kazakhstan,136.3,35.8,672.0,141.3,3942.5,2025
45,New Zealand,136.0,32.3,256.5,186.6,5474.2,2025
46,Belgium,135.5,34.5,490.8,177.3,4288.1,2025
47,Qatar,134.9,29.0,72.6,147.2,7269.8,2025
48,United Kingdom,134.3,34.8,524.2,157.8,4111.7,2025
49,Tunisia,133.9,33.7,387.9,128.6,4782.3,2025
50,Chile,131.1,36.2,752.8,114.4,3224.3,2025
51,Morocco,130.7,35.2,592.4,137.6,3530.3,2025
52,Greece,127.9,32.8,295.7,140.6,4362.3,2025
53,Georgia,127.4,37.1,916.0,164.6,2230.3,2025
54,France,126.5,34.4,482.2,137.1,3403.9,2025
55,Oman,124.9,24.3,24.3,283.5,6217.3,2025
56,Hungary,124.8,35.5,625.7,130.0,2804.9,2025
57,Italy,123.7,32.1,237.8,149.5,4090.5,2025
58,Switzerland,122.2,34.0,428.4,170.4,2959.5,2025
59,Romania,122.0,33.0,319.1,129.3,3567.8,2025
60,Taiwan,119.0,32.4,264.2,131.6,3459.9,2025
61,Poland,115.1,32.1,235.5,112.5,3260.0,2025
62,Albania,113.7,36.3,773.7,103.6,1550.0,2025
63,Belarus,112.4,31.3,183.2,95.8,3326.9,2025
64,Cyprus,109.4,25.1,25.1,155.6,4458.2,2025
65,Vietnam,108.4,29.4,86.7,119.9,3441.4,2025
66,Serbia,107.6,30.5,131.0,116.7,3014.2,2025
67,Portugal,107.0,28.5,57.7,117.7,3612.9,2025
68,Luxembourg,106.2,27.0,33.2,124.0,3887.1,2025
69,Latvia,102.1,28.6,61.7,111.2,3031.5,2025
70,Bulgaria,99.7,29.1,75.3,92.5,2740.5,2025
71,Armenia,99.6,29.3,82.2,82.4,2716.0,2025
72,Germany,99.3,29.6,92.7,119.2,2420.4,2025
73,Slovakia,98.9,27.4,38.7,154.7,2792.2,2025
74,Malta,97.1,28.2,51.8,106.0,2645.3,2025
75,Slovenia,96.8,25.2,25.2,133.0,3036.9,2025
76,Spain,96.3,26.7,30.6,118.6,2829.4,2025
77,Sweden,95.6,28.9,68.4,137.7,2179.7,2025
78,Iceland,92.7,21.2,21.2,91.0,3295.6,2025
79,Norway,92.6,26.3,28.2,120.7,2497.6,2025
80,Croatia,92.1,25.2,25.2,90.5,2747.3,2025
81,Bosnia And Herzegovina,90.4,25.9,26.5,94.5,2466.3,2025
82,Czech Republic,88.1,28.9,68.0,71.4,1810.2,2025
83,North Macedonia,85.7,24.5,24.5,72.2,2275.4,2025
84,Denmark,85.0,27.7,42.1,116.7,1600.0,2025
85,Lithuania,83.6,23.6,23.6,71.4,2186.1,2025
86,Netherlands,83.0,22.7,22.7,139.9,1912.0,2025
87,Finland,77.8,25.1,25.1,69.6,1544.6,2025
88,Austria,75.6,23.2,23.2,76.3,1509.5,2025
89,Estonia,75.3,21.4,21.4,81.2,1621.0,2025
